PC,,,,,
Array Size,Bubble Sort,Merge Sort,Selection Sort,Quick Sort,
500,9006.1,967.8,4025.9,960.8,
1000,40951.4,1995,16955.2,996.8,
2000,172133.7,3020.4,67820.9,2026.9,
5000,1091620.7,8945.2,425940.5,6607.6,
10000,4449008.8,19041.6,1717712.9,13993.9,
20000,18032344.2,41057.5,7003820.6,30859.1,
50000,113834162.2,114695.3,44433459.9,90111.7,
,,,,,
HPC,,,,,243
Array Size,Bubble Sort,Merge Sort,Selection Sort,Quick Sort,
500,11445.781,1019.525,5504.666,615.716,
1000,49972.26,1827.97,21553.03,1333.38,
2000,206232.087,3962.711,86699.943,2620.184,
5000,1327188.001,11174.853,539231.306,7067.115,
10000,5412874.036,24447.062,2181372.541,15984.328,
20000,21817358.16,52386.504,8931928.746,33017.92,
50000,139244763.5,142249.229,56174832.29,93561.819,
,,,,,
HPC ,,,,,244
Array Size,Bubble Sort,Merge Sort,Selection Sort,Quick Sort,
500,12084.32,990.995,5564.241,608.083,
1000,50253.917,1817.358,22778.01,1303.005,
2000,218470.795,4011.711,86213.444,2701.707,
5000,1344581.643,11138.174,536132.756,7212.864,
10000,5419378.675,24087.554,2147090.763,15208.951,
20000,22278933.82,52519.384,8840693.235,34231.622,
50000,137579733.8,143348.075,56136263.71,93599.519,
